trajectory_id,step,time_s,v_mps,a_mps2,pressure_MPa,mu,v_next_mps,a_next_mps2,brake_utilization,slip_risk
0,0,0.0,17.232744325812803,0.0,0.5886664606207737,0.4,17.17551286436356,-1.1446292289848377,0.29169959963935715,False
0,1,0.05,17.17551286436356,-1.1446292289848377,1.0893851567145612,0.4,17.069600418571866,-2.118248915833869,0.5398187858903845,False
0,2,0.1,17.069600418571866,-2.118248915833869,1.2311746455268555,0.4,16.949902883590088,-2.393950699635552,0.6100791793158898,False
0,3,0.15000000000000002,16.949902883590088,-2.393950699635552,1.651434311029094,0.4,16.789346770017815,-3.211122271445461,0.8183288153530734,False
0,4,0.2,16.789346770017815,-3.211122271445461,1.964767012092528,0.4,16.598327754953264,-3.820380301291027,0.973593348952861,True
0,5,0.25,16.598327754953264,-3.820380301291027,1.9326482705599934,0.4,16.410431395315488,-3.757927192755543,0.9576776739947865,True
0,6,0.30000000000000004,16.410431395315488,-3.757927192755543,2.2289305415216845,0.4,16.214231395315487,-3.9240000000000004,1.104493274341077,True
0,7,0.35000000000000003,16.214231395315487,-3.9240000000000004,2.4371230257255494,0.4,16.018031395315486,-3.9240000000000004,1.2076580855758612,True
0,8,0.4,16.018031395315486,-3.9240000000000004,2.369150871162949,0.4,15.821831395315487,-3.9240000000000004,1.1739761084310683,True
0,9,0.45,15.821831395315487,-3.9240000000000004,2.9725182296417847,0.4,15.625631395315487,-3.9240000000000004,1.472960386757595,True
0,10,0.5,15.625631395315487,-3.9240000000000004,3.191616503076899,0.4,15.429431395315488,-3.9240000000000004,1.581529301275505,True
0,11,0.55,15.429431395315488,-3.9240000000000004,2.8840347198408858,0.4,15.233231395315489,-3.9240000000000004,1.429114497599261,True
0,12,0.6000000000000001,15.233231395315489,-3.9240000000000004,2.6680352217069023,0.4,15.03703139531549,-3.9240000000000004,1.3220811071432435,True
0,13,0.65,15.03703139531549,-3.9240000000000004,2.8084790536631106,0.4,14.84083139531549,-3.9240000000000004,1.3916746924652972,True
0,14,0.7000000000000001,14.84083139531549,-3.9240000000000004,2.9280638908096166,0.4,14.644631395315491,-3.9240000000000004,1.4509321012903016,True
0,15,0.75,14.644631395315491,-3.9240000000000004,2.609528775963268,0.4,14.448431395315492,-3.9240000000000004,1.293089635840899,True
0,16,0.8,14.448431395315492,-3.9240000000000004,2.095663463064403,0.4,14.252231395315492,-3.9240000000000004,1.0384559577422994,True
0,17,0.8500000000000001,14.252231395315492,-3.9240000000000004,1.7757607015464583,0.4,14.079587993776254,-3.4528680307847797,0.8799357876617685,False
0,18,0.9,14.079587993776254,-3.4528680307847797,1.5495954055812495,0.4,13.9289328849003,-3.0131021775190963,0.7678649789804016,False
0,19,0.9500000000000001,13.9289328849003,-3.0131021775190963,1.011463951282283,0.4,13.830596111858966,-1.9667354608266614,0.5012067942983336,False
0,20,1.0,13.830596111858966,-1.9667354608266614,0.7289455121508457,0.4,13.759726409288746,-1.417394051404422,0.36121153195831346,False
0,21,1.05,13.759726409288746,-1.417394051404422,0.2415546911607811,0.4,13.736241925425892,-0.4696896772570744,0.11969665577397409,False
0,22,1.1,13.736241925425892,-0.4696896772570744,0.2014875419546734,0.4,13.716652858846965,-0.3917813315785316,0.09984233730339744,False
0,23,1.1500000000000001,13.716652858846965,-0.3917813315785316,0.39357872084955237,0.4,13.678388260986592,-0.7652919572074629,0.19502853139843598,False
0,24,1.2000000000000002,13.678388260986592,-0.7652919572074629,0.08415458152429495,0.4,13.670206565560619,-0.16363390851946238,0.04170079218131049,False
0,25,1.25,13.670206565560619,-0.16363390851946238,0.22003405594805392,0.4,13.648814365676781,-0.4278439976767715,0.10903261918368284,False
0,26,1.3,13.648814365676781,-0.4278439976767715,0.0,0.4,13.648814365676781,-0.0,0.0,False
0,27,1.35,13.648814365676781,-0.0,0.026233125392721608,0.4,13.646263922930267,-0.051008854930292016,0.012999198504151889,False
0,28,1.4000000000000001,13.646263922930267,-0.051008854930292016,0.0,0.4,13.646263922930267,-0.0,0.0,False
0,29,1.4500000000000002,13.646263922930267,-0.0,0.0,0.4,13.646263922930267,-0.0,0.0,False
0,30,1.5,13.646263922930267,-0.0,0.0,0.4,13.646263922930267,-0.0,0.0,False
0,31,1.55,13.646263922930267,-0.0,0.0,0.4,13.646263922930267,-0.0,0.0,False
0,32,1.6,13.646263922930267,-0.0,0.14051723132399235,0.4,13.632602525440435,-0.2732279497966518,0.06962995662503868,False
0,33,1.6500000000000001,13.632602525440435,-0.2732279497966518,0.19952825111621988,0.4,13.613203945470802,-0.3879715993926498,0.09887145754144999,False
0,34,1.7000000000000002,13.613203945470802,-0.3879715993926498,0.5387247006202318,0.4,13.560827932910502,-1.0475202512060062,0.2669521537222238,False
0,35,1.75,13.560827932910502,-1.0475202512060062,0.16462947099018355,0.4,13.544822289897567,-0.3201128602586902,0.08157820088141951,False
0,36,1.8,13.544822289897567,-0.3201128602586902,0.4819148819622892,0.4,13.497969454151233,-0.9370567149266734,0.23880140543493206,False
0,37,1.85,13.497969454151233,-0.9370567149266734,0.46189701415600193,0.4,13.453062799997177,-0.8981330830811148,0.2288820293275012,False
0,38,1.9000000000000001,13.453062799997177,-0.8981330830811148,0.565711414860507,0.4,13.398063079107962,-1.0999944177843193,0.28032477517439325,False
0,39,1.9500000000000002,13.398063079107962,-1.0999944177843193,1.5911966378665607,0.4,13.243363405982047,-3.0939934625183123,0.788479475667256,False
0,40,2.0,13.243363405982047,-3.0939934625183123,2.432876422273815,0.8,13.006833753816537,-4.730593043310195,0.6027768913494131,False
0,41,2.0500000000000003,13.006833753816537,-4.730593043310195,3.0773433267972328,0.8,12.707647597044584,-5.983723135439064,0.7624519795411651,False
