v_mps,a_mps2,pressure_MPa,mu,v_next_mps,a_next_mps2,brake_utilization,slip_risk
5.10941995309314,-2.67652924956212,2.52922755011088,0.2,5.01131995309314,-1.962,2.50659656399028,1
26.6086297628924,-0.130515666213755,7.05101510580139,0.4,26.4124297628924,-3.924,3.49396206681177,1
16.1736154051384,-2.01850287823346,7.61519218733514,0.8,15.7812154051384,-7.848,1.88676326988284,1
24.883658211501,-7.09705429134038,3.14715245518519,0.8,24.5776850561358,-6.11946310730453,0.779748102357866,0
32.6607906443406,-1.20023225777899,6.4536183782279,0.6,32.3664906443406,-5.886,2.13195759464998,1
19.231818262541,-1.62544786808838,7.77541294929252,0.8,18.839418262541,-7.848,1.92646005511127,1
18.0897919451648,-0.393020792916496,8.36106786887452,0.2,17.9916919451648,-1.962,8.28625482530887,1
4.97934018599271,-3.99858349692354,1.22859445865919,0.6,4.85989350251196,-2.3889336696151,0.405867086241097,0
10.9800799475572,-0.482836752399523,5.64754160141611,0.6,10.6857799475572,-5.886,1.86566953646661,1
18.0519653030032,-5.73240898591737,7.47012334418643,0.8,17.6595653030032,-7.848,1.85082057032595,1
23.532027659251,-1.45848153212843,6.44062730018733,0.8,23.139627659251,-7.848,1.59574948682295,1
27.3364705476337,-5.88750400251939,6.40866400971877,0.4,27.1402705476337,-3.924,3.1756603287484,1
14.4176457350942,-7.52946027458738,6.56530359791463,0.4,14.2214457350942,-3.924,3.25327933411219,1
4.79249948879154,-5.51362724894861,3.73860990094424,0.8,4.42902352619974,-7.26951925183602,0.926289405177883,0
11.582226645522,-5.40776840067073,7.74564788646125,0.2,11.484126645522,-1.962,7.67634148901755,1
30.5709133469882,-2.6707926062466,1.85165772512616,0.6,30.3908910681565,-3.60044557663419,0.611696496200169,0
9.29788580383075,-3.71209179986815,9.09566908429502,0.6,9.00358580383075,-5.886,3.00476099549143,1
16.5926766110959,-0.175411536991122,2.34878952939885,0.8,16.3643220735154,-4.56709075160887,0.581943266005207,0
31.2312950460534,-7.40692335405979,1.06595290662262,0.2,31.1331950460534,-1.962,1.05641498844127,1
3.53858750848286,-7.73865022773552,5.21495359988385,0.2,3.44048750848286,-1.962,5.16829131260433,1
21.1278835891815,-1.53364635225627,2.16757029177148,0.2,21.0297835891815,-1.962,2.1481753372976,1
31.8095125126392,-7.23388599125685,2.5820952066249,0.4,31.6133125126392,-3.924,1.27949558602152,1
9.81481019230726,-1.19747495154361,8.76350576490138,0.8,9.42241019230726,-7.848,2.17127294832051,1
19.5371919766565,-3.77525158647194,1.56882789713022,0.6,19.3846670422133,-3.05049868886432,0.518263453765599,0
30.5567003437612,-3.29414978783856,3.46784905737364,0.2,30.4586003437612,-1.962,3.43681948714683,1
6.84684417597709,-4.81107898693945,4.09012872414497,0.6,6.55254417597709,-5.886,1.35117704293686,1
18.7709399650317,-6.80461461865368,1.72089923468015,0.6,18.6036303172156,-3.34619295632252,0.56850033236876,0
25.7069679170066,-7.6717349053025,3.41520875917955,0.2,25.6088679170066,-1.962,3.38465020306049,1
23.2198490270085,-0.679139029827651,3.25274861748391,0.6,22.9255490270085,-5.886,1.07454790663285,1
17.0702262699855,-1.40483754797954,7.29124326003336,0.8,16.6778262699855,-7.848,1.80650069445271,1
9.03705553687707,-1.76448935740898,3.64016217504738,0.8,8.68315088096969,-7.07809311814768,0.901897695992314,0
17.7734021666716,-1.3702266416033,8.88997418310534,0.4,17.5772021666716,-3.924,4.40521429959065,1
14.1561988423212,-4.01638084694191,5.8950763244832,0.4,13.9599988423212,-3.924,2.92116422240503,1
17.3650352871319,-6.63455659355532,1.20874933748331,0.8,17.2475179904321,-2.35034593399533,0.299483426859751,0
13.9577617877403,-7.64278021513274,9.0626211562633,0.4,13.7615617877403,-3.924,4.49076538211031,1
28.3808276038941,-4.05600584490538,0.952242234862072,0.8,28.2882484977269,-1.85158212334292,0.235930443851034,0
