recurrent,sequence_len,hidden_size,num_layers,epochs,batch_size,pinn_weight,split_strategy,seed,device,parameter_count,train_samples,val_samples,train_trajectories,val_trajectories,best_val_loss,elapsed_seconds,experiment,v_rmse,a_rmse,v_r2,a_r2
gru,5,64,1,40,256,0.05,trajectory,11,cuda,17730,12160,3040,160,40,0.0004321471,23.509073,gru_s5_h64_l1,0.0648290366,0.0431078412,0.9999473095,0.9995363951
gru,5,128,2,40,256,0.05,trajectory,11,cuda,167298,12160,3040,160,40,0.0010176504,46.129163,gru_s5_h128_l2,0.0654119477,0.0858807787,0.9999463558,0.9981598854
gru,50,64,1,40,256,0.05,trajectory,11,cuda,17730,4960,1240,160,40,0.0060936080,13.816678,gru_s50_h64_l1,0.0958428606,0.2337945849,0.9998153448,0.9858140349
gru,50,128,2,40,256,0.05,trajectory,11,cuda,167298,4960,1240,160,40,0.0027762143,51.099891,gru_s50_h128_l2,0.0583762936,0.1590604633,0.9999315143,0.9934338331
lstm,5,64,1,40,256,0.05,trajectory,11,cuda,22210,12160,3040,160,40,0.0025757636,24.315049,lstm_s5_h64_l1,0.0802604854,0.1450072229,0.9999192357,0.9947540164
lstm,5,128,2,40,256,0.05,trajectory,11,cuda,217474,12160,3040,160,40,0.0013034482,83.890902,lstm_s5_h128_l2,0.0877756923,0.0906621665,0.9999033809,0.9979493022
lstm,50,64,1,40,256,0.05,trajectory,11,cuda,22210,4960,1240,160,40,0.0092922702,20.641963,lstm_s50_h64_l1,0.1141945720,0.2895441949,0.9997379184,0.9782419801
lstm,50,128,2,40,256,0.05,trajectory,11,cuda,217474,4960,1240,160,40,0.0023266390,120.139271,lstm_s50_h128_l2,0.0633378774,0.1429635733,0.9999193549,0.9946955442
