step,time_s,distance_m,safe_distance_m,v_mps,a_mps2,pressure_MPa,mu
0,0.0,65.0,2.0,22.22222222222222,0.0,0.0,0.6
1,0.05,63.88943802257417,2.0,22.200256874811167,-0.43930694822108507,0.22592928765655804,0.6
2,0.1,62.78039579212753,2.0,22.1614323430544,-0.7764906351352973,0.3993380409267243,0.6
3,0.15000000000000002,61.67347574801281,2.0,22.11536942153428,-0.9212584304024451,0.4737900499212575,0.6
4,0.2,60.56861941902764,2.0,22.078883737872722,-0.7297136732311283,0.3752813176617232,0.6
5,0.25,59.46910566888609,2.0,21.901666267789516,-3.5443494016641677,1.8228082637130005,0.6
6,0.30000000000000004,58.3791566168188,2.0,21.696295814901987,-4.107409057750567,2.112381801128863,0.6
7,0.35000000000000003,57.30021848890628,2.0,21.461229301598678,-4.701330266066151,2.4178269939768775,0.6
8,0.4,56.232675782298074,2.0,21.24047896272969,-4.4150067773797845,2.270574914081032,0.6
9,0.45,55.17609035827584,2.0,21.022937998159666,-4.350819291400465,2.237564207005953,0.6
10,0.5,54.130227681958566,2.0,20.811569054531358,-4.227378872566154,2.174080563034022,0.6
11,0.55,53.09523745021985,2.0,20.58804021501725,-4.470576790282156,2.2991537778593942,0.6
12,0.6000000000000001,52.071177179202124,2.0,20.374370625691665,-4.273391786511747,2.1977443473488982,0.6
13,0.65,51.057452298268664,2.0,20.174624611646724,-3.9949202808988007,2.054530430176526,0.6
14,0.7000000000000001,50.05409458911246,2.0,19.959683754601542,-4.298817140903644,2.2108202438933025,0.6
15,0.75,49.06105863381294,2.0,19.761754457379187,-3.9585859444471,2.0358442000013657,0.6
16,0.8,48.078196534819,2.0,19.55272950237859,-4.180499100011923,2.1499709657204176,0.6
17,0.8500000000000001,47.10515413828481,2.0,19.36896635898896,-3.675262867792587,1.8901351891504734,0.6
18,0.9,46.142206885413245,2.0,19.148923755873707,-4.400852062305059,2.2632953463283165,0.6
19,0.9500000000000001,45.18967126546402,2.0,18.952501042095246,-3.9284542755691785,2.0203479131498634,0.6
20,1.0,44.24689471462963,2.0,18.75856099128037,-3.8788010162975333,1.9948119512387315,0.6
21,1.05,43.313940103733515,2.0,18.559623444564238,-3.978750934322584,2.046214766223043,0.6
22,1.1,42.390579219223206,2.0,18.37481193584801,-3.6962301743245565,1.9009183753669145,0.6
23,1.1500000000000001,41.47664595041027,2.0,18.182518816669237,-3.845862383575472,1.9778720829816712,0.6
24,1.2000000000000002,40.57221340475526,2.0,17.99478300953126,-3.7547161427595115,1.9309968734191774,0.6
25,1.25,39.67706374031783,2.0,17.811203567966082,-3.6715888313036062,1.888245684670426,0.6
26,1.3,38.79095206168897,2.0,17.63326357718818,-3.5587998155580385,1.830239905144134,0.6
27,1.35,37.91408033739255,2.0,17.441605394668727,-3.8331636503890514,1.9713413059143692,0.6
28,1.4000000000000001,37.0465373746724,2.0,17.26011311413721,-3.629845610630372,1.8667777426099055,0.6
29,1.4500000000000002,36.18772281541491,2.0,17.09246925616238,-3.352877159496574,1.7243368248839523,0.6
30,1.5,35.337633330604255,2.0,16.911110136263748,-3.627182397972669,1.865408090385944,0.6
31,1.55,34.49654154289084,2.0,16.732561372272784,-3.5709752798192915,1.8365015724784928,0.6
32,1.6,33.66412003140168,2.0,16.56429908729351,-3.365245699585469,1.730697788358241,0.6
33,1.6500000000000001,32.84028624272752,2.0,16.38905245967284,-3.5049325524133823,1.802536741241168,0.6
34,1.7000000000000002,32.024938799281415,2.0,16.2248452781714,-3.284143630028777,1.6889881525862283,0.6
35,1.75,31.21799540376453,2.0,16.05289054250407,-3.4390947133466265,1.7686772811496936,0.6
