time_s,mu,pressure_fixed_MPa,pressure_shield_MPa,v_fixed_mps,v_shield_mps,a_fixed_mps2,a_shield_mps2,v_pred_shield_mps,a_pred_shield_mps2,risk_fixed,risk_shield
0,0.8,8,3.5,22.2222222222222,22.2222222222222,0,0,21.9057836908084,-6.81509298254754,1,0
0.05,0.8,8,3.5,21.8298222222222,21.8819444444444,-7.848,-6.80555555555556,21.5609587285152,-6.80750592816575,1,0
0.1,0.8,8,3.5,21.4374222222222,21.5416666666667,-7.848,-6.80555555555556,21.2205589407972,-6.80742818322039,1,0
0.15,0.8,8,3.5,21.0450222222222,21.2013888888889,-7.848,-6.80555555555556,20.8801591530793,-6.80735043827502,1,0
0.2,0.8,8,3.5,20.6526222222222,20.8611111111111,-7.848,-6.80555555555556,20.5397593653613,-6.80727269332966,1,0
0.25,0.8,8,3.5,20.2602222222222,20.5208333333333,-7.848,-6.80555555555556,20.1993595776434,-6.8071949483843,1,0
0.3,0.8,8,3.5,19.8678222222222,20.1805555555556,-7.848,-6.80555555555556,19.8589597899254,-6.80711720343894,1,0
0.35,0.8,8,3.5,19.4754222222222,19.8402777777778,-7.848,-6.80555555555556,19.5185600022075,-6.80703945849357,1,0
0.4,0.8,8,3.5,19.0830222222222,19.5,-7.848,-6.80555555555556,19.1781602144895,-6.80696171354821,1,0
0.45,0.8,8,3.5,18.6906222222222,19.1597222222222,-7.848,-6.80555555555556,18.8377604267716,-6.80688396860285,1,0
0.5,0.8,8,3.5,18.2982222222222,18.8194444444444,-7.848,-6.80555555555556,18.4973606390536,-6.80680622365749,1,0
0.55,0.8,8,3.5,17.9058222222222,18.4791666666667,-7.848,-6.80555555555556,18.1569608513357,-6.80672847871212,1,0
0.6,0.8,8,3.5,17.5134222222222,18.1388888888889,-7.848,-6.80555555555556,17.8165610636177,-6.80665073376676,1,0
0.65,0.8,8,3.5,17.1210222222222,17.7986111111111,-7.848,-6.80555555555556,17.4761612758998,-6.8065729888214,1,0
0.7,0.8,8,3.5,16.7286222222222,17.4583333333333,-7.848,-6.80555555555556,17.1357614881818,-6.80649524387603,1,0
0.75,0.8,8,3.5,16.3362222222222,17.1180555555555,-7.848,-6.80555555555556,16.7953617004639,-6.80641749893067,1,0
0.8,0.8,8,3.5,15.9438222222222,16.7777777777778,-7.848,-6.80555555555556,16.4549619127459,-6.80633975398531,1,0
0.85,0.8,8,3.5,15.5514222222222,16.4375,-7.848,-6.80555555555556,16.114562125028,-6.80626200903995,1,0
